PlayerId,DraftSeason,CollegePosition,ProPosition,FirstName,LastName,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,Test,TestAttempt,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,BodyFat,LeanMass,IndyInvite
48418,2013,DC,DC,MARK,FOLKERTS,72.25,191,23.7,4.63,31.75,8.875,74.75,13,26,1.64,2.68,7.15,NULL,NULL,4.52,12.1,2,NULL,NULL,N
56191,2012,WR,WR,JOSHUA,HARLEY,75.13,219,22.2,4.5,34.125,10.125,81.625,21,50,1.57,2.57,6.95,36.5,10.05,4.14,11.28,19,6.4,202.883,Y
70345,2012,DS,DS,GERALD,BLACK,70.5,209,23.1,4.74,31.625,9.25,73,23,40,1.68,2.72,7.18,36,10.01,4.5,NULL,21,NULL,NULL,N
18539,2012,DS,DS,PATRICK,BRIDGES,73.63,208,24,4.67,31.5,9.375,75,17,49,1.71,2.74,7.2,33.5,10.03,4.41,12.2,11,NULL,NULL,N
16287,2013,RB,RB,NIHJA,SINGLETARY,71,230,22.9,4.6,31,9.5,73.5,17,35,1.67,2.66,7.33,33.5,9.07,4.54,11.77,NULL,14,198.952,Y
92057,2013,DS,DS,EARNEST,ESKRIDGE,72.25,189,21.7,4.52,30.25,10,74.25,13,47,1.57,2.65,6.94,30.5,9.09,4.33,11.66,10,NULL,NULL,N
78008,2012,DS,DS,ALLEN,COXSON,72,208,23.4,4.57,32,9.125,76.25,19,36,1.6,2.59,6.98,39.5,9.08,4.32,11.85,16,NULL,NULL,N
79631,2013,WR,WR,CORY,BERSIN,73.38,203,NULL,4.66,30.5,9.875,72.375,10,43,1.65,2.69,7.22,31,9.05,4.22,11.68,8,NULL,NULL,N
21945,2012,WR,WR,AUSTIN,FAKES,72.25,199,23.2,4.49,31.125,8.5,75,11,20,1.67,2.73,7.08,36,10.03,4.28,11.75,9,NULL,NULL,N
54371,2013,RB,RB,RONALD,CARLSON,66.5,172,23.2,4.85,28.25,8.875,69.75,6,22,1.73,2.85,7.08,30,9.05,4.31,12.08,14,NULL,NULL,N
13382,2013,DS,DS,JON,HOWLEY,73.13,207,21.9,4.53,32,10.25,77,11,40,1.64,2.66,6.64,34.5,10.03,4.1,NULL,NULL,13.5,177.487,Y
95288,2014,DT,DE,RORY,MCGRATH,75.75,297,22.3,5,33.5,9.375,80.375,20,30,1.84,2.92,7.66,23.5,8.06,4.66,NULL,27,23.8,226.652,Y
34182,2013,DT,DT,BRANDON,MOSES,75.5,302,23.4,5.41,33.375,10.5,80.5,13,28,1.94,3.1,7.88,26,8.02,4.71,NULL,28,NULL,NULL,N
70195,2015,WR,WR,JEROD,KERSEY,74.88,211,22.1,4.58,32.75,8.375,77.875,29,45,1.62,2.72,6.78,39.5,10.07,4.37,11.49,17,NULL,NULL,N
26244,2012,QB,QB,JERMAINE,BURNETTE,73.13,223,23.4,4.79,30.75,9.125,74,22,NULL,1.68,2.78,6.78,33,9.07,4.33,11.77,NULL,NULL,NULL,N
95757,2012,DC,DC,JACKSON,STANLEY,68.88,180,23.4,NULL,29.5,8.375,71.75,18,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
96243,2015,WR,WR,AVERY,JONES,67.5,175,22.9,4.54,28.375,8.25,69.875,16,26,1.55,2.61,7.09,37,10.05,4.29,11.72,22,NULL,NULL,N
53581,2015,WR,WR,NIKITA,BEASLEY,70.88,184,23.7,4.66,29.75,8.875,70.75,34,49,1.67,2.71,6.85,32,9.02,4.31,11.4,12,NULL,NULL,N
10081,2015,DT,DT,ROBERT,LEWIS,75.88,336,21.3,5.28,33.125,10.125,79.625,16,17,1.9,3.03,7.62,24.5,NULL,4.82,NULL,19,26.6,247.086,Y
17686,2012,DE,OLB,ZACHARY,WILLIAMS,73.88,247,23.2,4.73,32.125,10.375,77.25,25,32,1.63,2.71,7.31,37,9.09,4.36,12.45,27,NULL,NULL,N
98947,2013,DC,DC,DA'RICK,LONG,71.75,187,22.7,4.42,32,9.75,76,14,21,1.56,2.57,7.08,34,9.09,4.16,11.62,12,NULL,NULL,N
31837,2015,DS,DS,CHRISTOPHER,WILLIAMS,67.63,181,21.4,4.49,29.625,8.5,71.5,19,38,1.58,2.67,7.31,35.5,10.04,4.59,12.14,16,NULL,NULL,N
84787,2012,WR,WR,JORDON,POTTER,71,188,21.7,4.33,31.375,8.25,74.625,13,22,1.58,2.51,6.98,33,10.04,4.42,11.96,6,NULL,NULL,N
23539,2012,DC,DC,KASIMILI,GILDON,69.13,189,23.3,4.67,30,8.875,72.25,NULL,NULL,1.67,2.73,6.99,NULL,NULL,4.31,11.32,18,NULL,NULL,N
38248,2014,OT,OG,JUSTIN,DAVIS,73.25,305,23.4,5.34,31.75,9.375,75,27,39,1.85,3.13,8,23.5,8.01,5,NULL,30,NULL,NULL,N
39199,2015,PT,PT,SHAQUILLE,FORTENBERRY,68.5,210,22.3,NULL,30.125,7.75,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
10004,2012,WR,WR,RICHARD,HARRIS,73.13,200,23,4.54,33.25,9.25,80.5,18,23,1.6,2.66,6.85,34,10.02,4.34,11.28,8,NULL,NULL,N
25369,2015,DT,DT,JE'RON,WILSON,74.25,307,21.8,5.05,32.625,10.125,79.75,18,25,1.71,2.9,7.67,34,9.06,4.69,NULL,26,17.8,252.45,Y
27034,2015,DT,DT,ROBERT,GLOVER,76.63,320,23.2,5.08,34.625,11,84.75,19,35,1.74,2.92,7.91,33,8.07,4.47,NULL,28,21.5,251.716,Y
47053,2014,DC,DC,MATTHEW,GREEN,71.88,176,NULL,4.74,31,9.375,76.375,NULL,NULL,1.66,2.74,7.65,31,9.11,4.66,13.21,8,NULL,NULL,N
50084,2015,FB,FB,MYCHAL,WILSON,74,256,23.9,4.86,32.125,9,77.625,33,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
