PlayerId,Season,GamesPlayed,GamesStarted,Plays,PositivePlays,NegativePlays
28548,2016,6,4,252,29,30
67779,2016,2,2,136,3,12
31572,2016,1,0,11,1,0
31572,2018,8,0,46,1,0
87360,2016,16,7,554,27,33
16474,2013,15,14,971,68,11
69560,2015,16,1,58,3,0
15313,2015,15,0,18,3,1
20953,2016,10,9,610,73,61
69560,2016,16,8,546,31,9
27024,2014,16,1,214,7,27
34743,2015,10,10,527,28,25
42988,2017,6,6,399,12,63
89244,2014,8,2,241,15,3
15313,2016,16,8,292,32,12
39389,2017,13,0,75,2,3
67779,2014,16,16,986,63,83
67779,2015,14,14,842,44,78
55091,2015,16,5,1,0,1
45775,2017,16,16,788,57,15
48664,2015,16,0,1,0,0
61504,2017,16,0,1,0,0
25197,2014,16,0,1,0,0
98457,2016,4,0,55,4,3
57776,2018,16,16,3,1,0
62542,2015,9,0,170,8,4
87360,2015,4,0,23,1,5
88140,2017,9,0,117,15,2
29646,2015,8,7,472,24,46
61578,2013,2,2,14,3,2
42988,2018,16,8,504,14,63
73064,2015,9,0,94,6,3
35646,2015,8,3,214,11,3
50776,2014,15,15,956,33,76
65760,2015,16,16,1038,57,93
88140,2018,1,0,24,1,0
99721,2018,16,13,674,64,77
69560,2013,16,6,446,37,7
66213,2014,13,1,129,10,24
50776,2012,16,8,336,31,31
39389,2015,14,0,21,1,0
97534,2012,12,0,15,0,2
72667,2015,4,0,23,1,0
43831,2014,2,1,114,8,11
99856,2017,8,3,407,15,5
54585,2016,12,10,621,33,81
12771,2013,9,8,540,40,42
16474,2018,16,14,811,89,19
98457,2018,13,6,380,28,21
88140,2013,13,0,11,1,0
62542,2016,8,0,65,1,0
82580,2014,15,8,484,18,47
87360,2018,15,6,545,7,55
35646,2013,12,9,557,29,14
92202,2016,10,9,646,18,91
16474,2016,1,1,27,5,0
56248,2014,16,4,391,54,10
70113,2013,16,10,776,53,8
45775,2015,2,0,32,2,0
83716,2017,1,1,46,5,4
99721,2016,6,0,118,7,12
25359,2014,13,12,837,36,64
94837,2016,14,14,1,0,0
92202,2018,16,1,50,5,9
66213,2016,16,15,1066,62,131
66213,2018,8,8,501,10,67
67599,2017,12,12,764,25,37
41447,2013,3,3,171,19,16
82580,2017,5,5,234,11,12
54585,2018,6,4,320,9,44
13468,2017,2,0,28,0,5
25359,2017,15,15,909,34,83
75728,2017,14,14,888,60,73
13660,2016,14,14,923,31,69
52348,2017,11,0,159,30,0
84169,2017,16,0,4,1,0
93910,2016,12,3,237,7,20
13660,2018,5,5,344,14,28
72403,2015,16,4,301,13,43
66617,2014,7,0,117,10,8
56248,2017,16,16,539,81,17
68623,2016,3,0,35,3,0
50776,2018,13,13,807,29,89
67599,2015,14,14,975,35,90
59913,2015,16,16,1058,32,144
72403,2013,15,12,808,27,82
72403,2014,8,8,500,13,49
67599,2016,16,16,1080,28,56
92202,2017,16,2,311,7,35
82580,2016,15,15,683,55,54
94837,2015,16,16,1,0,0
44023,2014,8,3,161,46,1
13468,2016,16,7,418,26,40
41447,2012,15,15,904,43,74
66213,2015,11,9,643,39,77
52348,2014,16,3,341,62,5
13660,2015,16,13,828,36,68
