,Score,ProPosition,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,Test_Acc%,Success
10018,0.2648849693251534,DT,74.88,293.0,23.4,4.79,31.5,9.375,76.375,1.68,2.79,7.23,29.0,9.02,4.37,,29.0,0.5652,0
10034,0.12657327586206896,OT,79.63,308.0,22.2,5.1,33.0,10.625,80.125,1.78,2.95,7.62,30.0,9.05,4.68,,33.0,0.56,0
10081,0.35310137795275587,DT,75.88,336.0,21.3,5.28,33.125,10.125,79.625,1.9,3.03,7.62,24.5,,4.82,,19.0,0.9412,1
10085,0.17208333333333337,QB,78.88,242.0,21.5,4.92,33.875,9.875,79.375,1.73,2.87,,,,,,,0.7576,0
10100,0.16325391914191417,DE,75.38,284.0,21.7,4.76,35.5,9.625,80.375,1.74,2.77,7.16,34.5,9.1,4.4,,25.0,0.575,0
10163,0.19937640935057124,DS,72.5,209.0,22.9,4.59,31.0,9.375,74.125,1.61,2.64,6.84,34.5,9.09,4.26,11.52,17.0,0.7692,0
10191,0.1225,WR,73.25,204.0,22.2,4.43,31.5,9.75,73.0,1.64,2.56,6.72,33.5,9.11,4.07,11.35,15.0,0.5,0
10266,0.18551302931596092,WR,70.75,182.0,21.4,4.55,31.875,9.125,76.0,1.61,2.64,7.09,35.0,10.0,4.46,11.47,11.0,0.449,0
10331,0.1442375,TE,77.13,262.0,23.1,5.02,32.875,10.0,78.375,1.85,2.92,7.48,33.0,9.04,4.58,,21.0,0.5,0
10482,0.16321935595567869,OC,76.25,310.0,22.8,5.28,33.5,9.5,78.5,1.94,3.09,7.83,25.5,8.0,4.74,,32.0,0.8077,0
10542,0.2742561668514412,OLB,76.88,266.0,23.2,4.93,32.5,9.125,78.625,1.68,2.84,7.53,34.0,9.05,4.73,,31.0,0.5625,0
10666,0.17039566864295122,OG,75.25,300.0,23.0,5.15,31.875,10.0,78.25,1.79,3.04,7.94,30.5,9.02,4.63,,40.0,0.7436,0
10691,0.19478928941908713,DS,72.13,207.0,22.9,4.54,32.75,9.25,78.0,1.63,2.71,6.78,35.0,10.02,4.22,11.95,20.0,0.8214,0
10699,0.3140204817158931,ILB,72.25,232.0,23.2,4.56,31.0,9.625,76.0,1.59,2.65,7.09,38.0,10.04,4.16,,19.0,0.6531,1
10741,0.16775182803832575,OT,77.38,308.0,21.9,5.41,33.875,10.625,82.0,1.95,3.17,7.92,23.5,8.04,4.84,,17.0,0.34,0
10742,0.161875,DS,74.75,190.0,22.4,4.5,33.375,9.25,78.875,1.63,2.65,7.04,33.5,9.1,4.24,11.56,8.0,0.7333,0
10798,0.23054428807947017,OT,76.63,310.0,,4.94,34.25,9.125,81.375,1.77,2.84,7.61,32.0,9.0,4.81,,25.0,0.7931,0
10920,0.3594159920417124,DT,73.5,334.0,23.4,5.21,33.375,10.125,80.5,1.89,3.03,7.81,28.0,7.08,4.75,,25.0,0.8571,1
10924,0.21270934394226218,OG,76.63,315.0,23.5,,33.125,10.75,79.5,1.74,2.96,7.2,28.0,,4.52,,,0.7879,0
11086,0.325046483909416,OT,78.63,306.0,22.8,4.98,34.625,10.375,81.375,1.76,2.9,7.33,27.0,,4.65,,30.0,0.3,1
11089,0.25788647558537975,WR,71.38,188.0,22.8,4.38,32.75,9.25,76.0,1.55,2.53,6.77,33.5,10.0,4.18,,8.0,0.6774,0
11104,0.1314182692307692,OT,76.25,306.0,23.6,4.93,34.0,9.875,80.625,1.79,2.8,7.71,30.5,8.01,4.56,,32.0,0.8421,0
11111,0.2529086538461538,ILB,75.5,249.0,22.2,4.75,31.0,9.375,75.375,1.66,2.75,7.22,31.0,9.04,4.3,,30.0,0.8611,0
11187,0.26573511904761904,OG,76.13,303.0,23.4,5.2,34.625,9.5,83.75,1.82,3.04,7.95,27.0,8.11,4.66,,22.0,0.775,1
11323,0.24276922568710357,TE,77.5,250.0,22.7,4.65,33.125,9.125,78.375,1.7,2.72,6.92,35.5,9.11,4.32,11.52,22.0,0.7419,0
11346,0.3092629556583242,DE,78.25,294.0,23.8,4.96,33.5,9.75,79.5,1.74,2.86,7.2,30.0,9.03,4.19,,23.0,1.0,0
11400,0.13879310344827586,DS,71.13,209.0,22.5,4.57,30.0,10.0,73.75,1.61,2.67,,,,,,18.0,0.4,0
11425,0.13956363341968908,DE,76.5,275.0,23.4,4.65,34.0,9.75,80.625,1.66,2.78,,32.0,9.06,,,27.0,0.6429,0
11502,0.17853535353535352,WR,70.0,183.0,22.0,4.52,30.5,9.25,73.0,1.56,2.61,7.03,34.0,9.08,4.28,11.44,12.0,0.5357,0
11508,0.2662825329912023,DC,70.63,193.0,21.3,4.36,31.375,8.625,74.625,1.52,2.48,6.94,41.5,10.09,4.14,11.45,12.0,0.68,1
11545,0.17325,OLB,77.88,233.0,22.3,4.73,34.5,9.5,82.5,1.7,2.82,7.43,33.5,10.04,4.76,11.78,13.0,0.72,0
11637,0.3080600161737522,OT,79.13,309.0,22.8,4.85,33.875,9.25,80.25,1.81,2.89,7.39,30.5,9.09,4.49,,29.0,0.5833,1
11639,0.18549262572533848,DS,71.63,199.0,21.7,4.45,30.75,8.25,74.375,1.55,2.6,6.9,34.0,9.09,4.07,,25.0,0.56,0
11784,0.15195206639566394,ILB,73.13,231.0,23.5,4.54,31.875,9.125,76.375,1.63,2.71,7.36,33.0,10.02,4.68,12.09,26.0,0.3158,0
11794,0.36734518348623846,DT,73.88,306.0,23.4,5.16,34.0,10.25,81.5,,,7.53,25.0,8.08,4.67,,30.0,0.5,1
11841,0.09624999999999999,OG,77.88,329.0,22.4,5.25,35.5,9.625,83.375,1.89,3.09,7.85,22.5,8.02,4.96,,22.0,0.5,0
11909,0.02389423076923077,OLB,77.5,266.0,22.7,4.82,34.0,10.0,80.5,1.64,2.74,7.69,34.5,10.02,4.64,12.62,18.0,0.2571,0
11963,0.318155487804878,WR,71.38,178.0,22.4,4.4,31.75,9.5,76.5,1.61,2.6,7.16,33.0,9.08,4.22,11.94,,0.6316,1
12032,0.33424126344086014,ILB,73.25,251.0,21.5,4.79,33.75,10.375,81.375,1.71,2.73,6.98,33.0,9.08,4.26,,23.0,0.6875,1
12116,0.25375,DS,70.38,199.0,22.1,4.4,31.375,10.125,74.625,1.56,2.58,6.89,37.0,10.04,4.18,11.56,21.0,0.8571,0
12128,0.21289724576271182,DT,74.13,316.0,22.5,5.23,33.5,10.0,78.0,1.8,2.92,7.97,31.0,8.04,4.71,,35.0,0.6857,0
12280,0.27573066454396056,WR,72.25,205.0,23.0,4.47,34.5,8.875,78.625,1.6,2.6,6.67,36.5,10.04,4.13,10.96,19.0,0.6923,0
12353,0.19744266055045873,DC,72.13,202.0,22.5,4.36,33.125,8.625,77.0,1.57,2.54,6.92,35.5,10.06,4.39,11.36,20.0,0.4242,0
12401,0.164875,WR,76.5,209.0,23.2,4.54,31.875,9.5,74.5,1.64,2.62,6.9,31.0,9.05,4.26,11.49,15.0,0.44,0
12771,0.21990277777777775,OT,76.63,330.0,21.6,5.27,34.25,10.25,83.5,1.83,3.08,8.06,25.5,7.11,4.84,,17.0,0.5714,0
12969,0.19102594339622642,DS,74.25,213.0,23.0,4.69,31.375,9.25,74.5,1.64,2.74,6.75,35.5,10.06,4.16,11.7,11.0,0.7105,0
13005,0.20588698701842545,WR,74.63,194.0,20.6,4.45,31.125,9.25,75.125,1.55,2.56,6.65,34.5,10.02,4.33,,7.0,0.6552,0
13059,0.21843446601941746,OT,77.5,310.0,23.1,5.31,35.0,10.25,81.375,,,,,,,,25.0,0.64,0
13082,0.12352900552486187,DC,72.0,195.0,22.4,4.39,31.75,8.625,74.625,1.58,2.6,,,,,,,0.6757,0
13084,0.05521551724137931,OT,77.13,318.0,23.6,,34.5,10.25,83.625,,,,27.5,,,,26.0,0.55,0
13153,0.21455699233716471,OC,76.5,301.0,23.0,5.1,32.375,10.0,79.125,,,,,,,,,0.7292,0
13188,0.2928409090909091,DS,69.88,200.0,22.0,4.56,31.0,9.75,76.125,1.56,2.62,6.95,33.0,9.01,4.4,11.61,21.0,0.7143,1
13189,0.24494791666666665,DC,69.25,192.0,21.7,4.32,30.75,9.5,73.125,1.45,2.43,7.09,39.0,10.01,4.09,11.28,21.0,0.4884,1
13382,0.31481042654028435,DS,73.13,207.0,21.9,4.53,32.0,10.25,77.0,1.64,2.66,6.64,34.5,10.03,4.1,,,0.275,1
13411,0.2541452205882353,DS,75.25,216.0,22.2,4.66,32.5,10.0,78.0,1.64,2.76,7.25,34.5,9.08,4.24,11.9,18.0,0.6957,0
13468,0.2730215955284553,OG,75.75,308.0,23.8,5.27,34.125,10.875,80.875,1.81,3.09,,33.0,8.11,4.81,,29.0,0.8462,1
13505,0.20894094827586204,OT,79.25,323.0,22.2,5.33,34.0,11.0,82.875,1.87,3.12,7.94,28.5,8.04,4.95,,19.0,0.74,0
13574,0.2036774114173228,ILB,74.13,236.0,23.9,4.68,32.0,9.875,78.0,1.62,2.68,6.68,37.5,10.01,4.68,11.65,31.0,0.7941,0
13631,0.3360106263479511,ILB,75.25,255.0,23.7,4.73,31.0,9.375,74.625,1.64,2.74,7.1,34.0,10.0,4.25,11.78,27.0,0.8286,1
13640,0.13832555036691127,OT,77.25,306.0,23.0,,35.875,10.0,85.0,,,,,,,,23.0,0.46,0
13660,0.24831395348837204,OG,76.88,298.0,23.2,5.0,33.0,11.0,79.375,,,7.3,,,4.56,,34.0,0.8889,0
13711,-0.057749999999999996,DC,70.75,187.0,24.2,4.39,32.0,9.25,72.625,1.6,2.56,7.16,38.5,11.02,4.34,11.69,18.0,0.4828,0
13765,0.135625,OG,77.38,307.0,23.7,5.09,34.25,10.25,78.75,1.79,,7.63,29.0,8.06,4.67,12.34,,0.7143,0
13795,0.21540932452276063,OLB,76.25,269.0,23.3,4.75,33.375,10.25,80.875,1.69,2.75,7.25,32.5,9.11,4.47,12.26,25.0,0.68,0
13857,0.29860025799553735,DC,69.13,196.0,22.3,4.53,29.625,9.625,71.625,1.6,2.57,7.22,35.5,9.05,4.15,11.84,17.0,0.5227,1
13946,0.1028125,WR,74.75,216.0,22.8,4.51,32.0,10.125,78.25,1.61,2.65,7.15,37.0,10.02,4.07,11.62,,0.6857,0
14059,0.2858296586059744,ILB,74.5,242.0,21.6,4.63,33.5,10.0,78.125,1.61,2.69,7.16,33.5,10.02,4.39,11.5,20.0,0.7619,1
14081,0.27769578313253007,WR,74.0,217.0,22.5,4.67,32.25,10.375,79.125,1.67,2.68,7.12,36.0,10.03,4.28,11.22,11.0,0.7692,0
14089,0.24531267908309454,DS,69.88,208.0,21.6,4.45,32.625,9.0,75.5,1.61,2.56,,35.5,9.1,,,17.0,0.6552,0
14105,0.18947115384615384,OLB,75.0,262.0,23.5,4.93,31.625,9.5,75.625,1.66,2.72,7.17,35.0,10.04,4.25,,34.0,0.5,0
14247,0.07103475103734438,OT,76.63,314.0,23.1,5.2,33.375,10.875,81.125,1.83,2.97,8.0,29.5,8.1,4.7,,21.0,0.6452,0
14265,0.05347222222222222,DS,71.25,186.0,23.6,4.55,30.875,9.375,75.5,1.58,2.71,6.93,40.5,10.05,4.32,11.32,7.0,0.55,0
14431,0.2621130982688391,DC,68.0,184.0,23.4,4.51,31.75,9.75,75.5,1.63,2.63,7.26,37.5,10.04,4.4,11.45,14.0,0.7647,1
14481,0.28691329051383396,TE,75.5,246.0,23.3,4.8,32.75,10.125,77.5,1.78,2.8,7.18,32.0,9.02,4.4,11.9,21.0,0.775,1
14497,0.25521860385814493,DT,75.13,301.0,23.4,4.77,33.0,10.125,79.25,1.69,2.79,7.32,27.5,8.1,4.47,,24.0,0.6,0
14561,0.3502142857142857,WR,69.88,182.0,22.6,4.35,30.0,8.375,70.75,1.53,2.5,6.89,35.5,10.01,4.07,11.14,,0.6667,1
14604,0.3004189758368433,OG,77.63,338.0,21.9,5.28,34.375,10.625,83.0,1.84,3.01,7.95,32.0,9.01,4.79,,26.0,0.5435,1
14649,0.28630010982976384,WR,69.75,185.0,22.3,4.29,30.25,9.375,74.75,1.51,2.51,6.7,37.0,10.02,4.11,,13.0,0.84,1
14716,0.2601768718274111,DS,74.0,221.0,23.5,4.61,32.0,9.5,78.25,1.73,2.79,6.76,36.5,10.06,4.39,,14.0,0.6818,1
14820,0.19706521739130434,DT,72.75,293.0,23.2,4.95,33.0,9.125,80.0,1.77,2.88,,29.0,9.05,,,28.0,0.5938,0
14829,0.20230603448275863,DT,75.0,305.0,22.0,5.18,32.375,9.875,78.5,1.81,3.02,7.61,31.5,9.08,4.68,,26.0,0.6389,0
14854,0.2586272731916633,OLB,73.5,243.0,22.7,4.66,33.75,10.5,81.375,1.66,2.76,7.05,30.5,9.0,4.09,11.87,28.0,0.6667,0
14917,0.33988372093023256,RB,69.25,199.0,24.3,4.5,31.0,9.375,72.75,1.59,2.55,7.07,34.0,10.02,4.19,11.66,,0.6,0
14945,0.24053636747326954,OC,77.0,314.0,22.4,,33.0,9.25,79.25,,,,,,,,18.0,0.7368,1
15043,0.0847804054054054,RB,70.63,222.0,21.6,4.72,30.375,10.625,72.375,1.62,2.75,7.19,38.5,9.09,4.44,11.93,23.0,0.6829,0
15104,0.07848749999999999,TE,74.63,258.0,22.3,4.85,33.875,10.0,81.0,1.72,2.8,7.12,31.5,9.08,4.45,11.88,17.0,0.8261,0
15137,0.30522816716641676,QB,74.38,223.0,22.2,4.36,32.25,9.5,77.75,1.52,2.57,,39.0,10.0,,,,0.7273,1
15158,0.3744154624277456,TE,76.88,250.0,23.6,4.61,33.75,9.875,80.875,1.62,2.76,7.09,35.0,10.04,4.42,12.01,,0.6667,1
15179,0.369244372553284,DE,76.25,282.0,22.5,4.83,33.875,9.5,80.125,1.74,2.79,7.09,33.0,9.05,4.44,,28.0,0.6818,1
15216,0.06011363636363637,QB,72.38,206.0,22.6,4.65,30.0,9.25,73.75,1.64,2.66,7.07,34.0,9.08,4.33,,,0.6053,0
15313,0.3063843813387424,FB,73.38,238.0,,4.7,31.375,10.25,77.25,1.66,2.7,7.59,33.0,9.05,4.33,12.0,,0.7209,1
15402,0.1855224780701754,DC,72.38,193.0,23.1,4.34,31.875,9.625,77.25,1.58,2.53,6.62,36.5,10.02,4.04,11.15,11.0,0.8462,0
