,num_seasons,GamesPlayed,GamesStarted,Plays,PositivePlays,NegativePlays,GP%,GS%,PosPlay%,NegPlay%,NeutPlay%,Score,ProPosition,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,Test_Acc%,IndyInvite,Success
10018,3,40,2,1141,94,53,0.8333333333333334,0.041666666666666664,0.08238387379491674,0.04645048203330412,0.8711656441717791,0.3857398480864739,DT,74.88,293.0,23.4,4.79,31.5,9.375,76.375,1.68,2.79,7.23,29.0,9.02,4.37,,29.0,0.5652,Y,0
10081,4,52,48,1905,279,117,0.8125,0.75,0.14645669291338584,0.06141732283464567,0.7921259842519685,0.4849232283464567,DT,75.88,336.0,21.3,5.28,33.125,10.125,79.625,1.9,3.03,7.62,24.5,,4.82,,19.0,0.9412,Y,1
10085,4,21,7,642,80,46,0.328125,0.109375,0.12461059190031153,0.07165109034267912,0.8037383177570093,0.3301323987538941,QB,78.88,242.0,21.5,4.92,33.875,9.875,79.375,1.73,2.87,,,,,,,0.7576,Y,0
10100,4,18,0,303,25,7,0.28125,0.0,0.08250825082508251,0.0231023102310231,0.8943894389438944,0.34907797029702975,DE,75.38,284.0,21.7,4.76,35.5,9.625,80.375,1.74,2.77,7.16,34.5,9.1,4.4,,25.0,0.575,N,0
10163,4,41,16,1663,37,90,0.640625,0.25,0.022248947684906796,0.054119061936259774,0.9236319903788335,0.27536699488875527,DS,72.5,209.0,22.9,4.59,31.0,9.375,74.125,1.61,2.64,6.84,34.5,9.09,4.26,11.52,17.0,0.7692,Y,0
10266,2,14,2,307,10,1,0.4375,0.0625,0.03257328990228013,0.003257328990228013,0.9641693811074918,0.34330618892508147,WR,70.75,182.0,21.4,4.55,31.875,9.125,76.0,1.61,2.64,7.09,35.0,10.0,4.46,11.47,11.0,0.449,N,0
10331,2,16,3,250,15,25,0.5,0.09375,0.06,0.1,0.84,0.213225,TE,77.13,262.0,23.1,5.02,32.875,10.0,78.375,1.85,2.92,7.48,33.0,9.04,4.58,,21.0,0.5,N,0
10482,4,45,5,361,10,37,0.703125,0.078125,0.027700831024930747,0.10249307479224377,0.8698060941828255,0.19221087257617725,OC,76.25,310.0,22.8,5.28,33.5,9.5,78.5,1.94,3.09,7.83,25.5,8.0,4.74,,32.0,0.8077,Y,0
10542,4,49,10,902,91,40,0.765625,0.15625,0.1008869179600887,0.04434589800443459,0.8547671840354767,0.412172256097561,OLB,76.88,266.0,23.2,4.93,32.5,9.125,78.625,1.68,2.84,7.53,34.0,9.05,4.73,,31.0,0.5625,Y,0
10666,4,46,8,759,27,83,0.71875,0.125,0.03557312252964427,0.10935441370223979,0.855072463768116,0.19529232542819497,OG,75.25,300.0,23.0,5.15,31.875,10.0,78.25,1.79,3.04,7.94,30.5,9.02,4.63,,40.0,0.7436,N,0
10691,4,34,25,1446,56,87,0.53125,0.390625,0.03872752420470263,0.06016597510373444,0.901106500691563,0.27977653872752417,DS,72.13,207.0,22.9,4.54,32.75,9.25,78.0,1.63,2.71,6.78,35.0,10.02,4.22,11.95,20.0,0.8214,Y,0
10699,4,59,55,3555,238,319,0.921875,0.859375,0.0669479606188467,0.08973277074542897,0.8433192686357244,0.34656592827004223,ILB,72.25,232.0,23.2,4.56,31.0,9.625,76.0,1.59,2.65,7.09,38.0,10.04,4.16,,19.0,0.6531,Y,1
10741,4,34,26,1983,92,205,0.53125,0.40625,0.04639435199193142,0.10337871911245587,0.8502269288956127,0.21162947554210793,OT,77.38,308.0,21.9,5.41,33.875,10.625,82.0,1.95,3.17,7.92,23.5,8.04,4.84,,17.0,0.34,Y,0
10798,4,53,33,2114,94,241,0.828125,0.515625,0.04446546830652791,0.1140018921475875,0.8415326395458845,0.23758455534531692,OT,76.63,310.0,,4.94,34.25,9.125,81.375,1.77,2.84,7.61,32.0,9.0,4.81,,25.0,0.7931,N,0
10920,4,60,41,1822,206,86,0.9375,0.640625,0.11306256860592755,0.04720087815587267,0.8397365532381997,0.4766029774972557,DT,73.5,334.0,23.4,5.21,33.375,10.125,80.5,1.89,3.03,7.81,28.0,7.08,4.75,,25.0,0.8571,Y,1
10924,4,40,31,2113,111,179,0.625,0.484375,0.05253194510175106,0.08471367723615712,0.8627543776620918,0.2721327792238523,OG,76.63,315.0,23.5,,33.125,10.75,79.5,1.74,2.96,7.2,28.0,,4.52,,,0.7879,Y,0
11086,4,64,64,4195,148,366,1.0,1.0,0.03528009535160906,0.08724672228843862,0.8774731823599523,0.32744696066746126,OT,78.63,306.0,22.8,4.98,34.625,10.375,81.375,1.76,2.9,7.33,27.0,,4.65,,30.0,0.3,Y,1
11089,4,47,18,1751,55,26,0.734375,0.28125,0.03141062250142775,0.014848657909765849,0.9537407195888064,0.37508441604797255,WR,71.38,188.0,22.8,4.38,32.75,9.25,76.0,1.55,2.53,6.77,33.5,10.0,4.18,,8.0,0.6774,Y,0
11111,2,29,4,364,21,26,0.90625,0.125,0.057692307692307696,0.07142857142857142,0.8708791208791209,0.32140796703296703,ILB,75.5,249.0,22.2,4.75,31.0,9.375,75.375,1.66,2.75,7.22,31.0,9.04,4.3,,30.0,0.8611,Y,0
11187,4,53,45,2940,139,272,0.828125,0.703125,0.04727891156462585,0.09251700680272108,0.860204081632653,0.29219302721088436,OG,76.13,303.0,23.4,5.2,34.625,9.5,83.75,1.82,3.04,7.95,27.0,8.11,4.66,,22.0,0.775,N,1
11323,4,37,30,1892,151,101,0.578125,0.46875,0.07980972515856237,0.05338266384778013,0.8668076109936576,0.3593796247357294,TE,77.5,250.0,22.7,4.65,33.125,9.125,78.375,1.7,2.72,6.92,35.5,9.11,4.32,11.52,22.0,0.7419,Y,1
11346,4,45,22,1838,243,54,0.703125,0.34375,0.132208922742111,0.029379760609358,0.838411316648531,0.48480787540805226,DE,78.25,294.0,23.8,4.96,33.5,9.75,79.5,1.74,2.86,7.2,30.0,9.03,4.19,,23.0,1.0,Y,1
11425,4,17,0,193,14,8,0.265625,0.0,0.07253886010362694,0.04145077720207254,0.8860103626943006,0.29957091968911914,DE,76.5,275.0,23.4,4.65,34.0,9.75,80.625,1.66,2.78,,32.0,9.06,,,27.0,0.6429,N,0
11502,3,24,0,99,3,2,0.5,0.0,0.030303030303030304,0.020202020202020204,0.9494949494949495,0.31404040404040406,WR,70.0,183.0,22.0,4.52,30.5,9.25,73.0,1.56,2.61,7.03,34.0,9.08,4.28,11.44,12.0,0.5357,N,0
11508,4,46,45,2728,113,156,0.71875,0.703125,0.04142228739002932,0.05718475073313783,0.9013929618768328,0.3339268695014662,DC,70.63,193.0,21.3,4.36,31.375,8.625,74.625,1.52,2.48,6.94,41.5,10.09,4.14,11.45,12.0,0.68,Y,1
11637,4,58,53,3246,159,243,0.90625,0.828125,0.048983364140480594,0.07486136783733827,0.8761552680221811,0.3454349584103512,OT,79.13,309.0,22.8,4.85,33.875,9.25,80.25,1.81,2.89,7.39,30.5,9.09,4.49,,29.0,0.5833,Y,1
11639,2,19,4,517,4,17,0.59375,0.125,0.007736943907156673,0.03288201160541586,0.9593810444874274,0.2806443423597679,DS,71.63,199.0,21.7,4.45,30.75,8.25,74.375,1.55,2.6,6.9,34.0,9.09,4.07,,25.0,0.56,Y,0
11784,4,43,3,369,24,50,0.671875,0.046875,0.06504065040650407,0.13550135501355012,0.7994579945799458,0.1760077913279133,ILB,73.13,231.0,23.5,4.54,31.875,9.125,76.375,1.63,2.71,7.36,33.0,10.02,4.68,12.09,26.0,0.3158,N,0
11794,4,62,46,1744,219,113,0.96875,0.71875,0.12557339449541285,0.06479357798165138,0.8096330275229358,0.47030963302752293,DT,73.88,306.0,23.4,5.16,34.0,10.25,81.5,,,7.53,25.0,8.08,4.67,,30.0,0.5,Y,1
11963,3,43,22,1681,77,22,0.8958333333333334,0.4583333333333333,0.04580606781677573,0.013087447947650209,0.9411064842355741,0.43113201467380535,WR,71.38,178.0,22.4,4.4,31.75,9.5,76.5,1.61,2.6,7.16,33.0,9.08,4.22,11.94,,0.6316,Y,1
12032,4,64,62,3255,183,289,1.0,0.96875,0.05622119815668203,0.08878648233486944,0.8549923195084486,0.35121870199692784,ILB,73.25,251.0,21.5,4.79,33.75,10.375,81.375,1.71,2.73,6.98,33.0,9.08,4.26,,23.0,0.6875,Y,1
