,Pred_Score
66550,0.54532003
50101,0.5446261
46475,0.5445529
45220,0.5413045
50398,0.5394987
89918,0.53816205
26947,0.5377479
39078,0.5377167
55921,0.5353999
87183,0.5334687
56248,0.53342545
93142,0.53160155
89290,0.5308429
99900,0.5306951
31335,0.528371
90819,0.5278021
39436,0.5271336
27141,0.52579457
41133,0.5255933
98122,0.52558064
56695,0.52540654
85599,0.52517104
72179,0.52453154
56696,0.52416134
91595,0.5240356
99753,0.5225537
72861,0.52215123
69426,0.52154106
94431,0.5214828
83301,0.5210981
47828,0.5190427
63188,0.5183635
38094,0.5177232
23063,0.5173417
74716,0.5172827
48123,0.51654804
66977,0.51620525
23718,0.5154714
19885,0.51524895
49905,0.5135173
31235,0.5132175
92354,0.51208377
76997,0.51168966
25651,0.51144403
88107,0.51025033
56022,0.5098923
96158,0.50989044
43220,0.5090151
76674,0.50884855
39401,0.50849235
87542,0.5077394
44369,0.5072107
27828,0.50707537
25911,0.5067876
49070,0.5062101
21191,0.50524664
44023,0.5040995
35579,0.5038421
80221,0.5009863
22308,0.50042856
52461,0.49977368
91156,0.49963644
96855,0.49873114
56692,0.4980777
27814,0.4978793
66892,0.4978608
29237,0.49758247
52634,0.4975701
83716,0.49703467
35703,0.49698332
87157,0.492061
25966,0.4906974
52817,0.48921862
98349,0.4890725
14917,0.4880452
71010,0.48780957
43965,0.48780107
94108,0.48689947
84842,0.48549134
95855,0.48494095
86561,0.4847677
59997,0.48431063
52348,0.48428532
97361,0.48406067
80233,0.4768379
93784,0.47662264
46402,0.47442666
59856,0.47227046
16287,0.47209644
35414,0.47107005
63510,0.46969485
29380,0.46666542
37060,0.4644251
15860,0.46407917
34160,0.46401003
80033,0.46325096
93067,0.46068555
56155,0.46023378
30505,0.4600211
96021,0.45687324
88706,0.45649675
42766,0.4560185
92550,0.45394018
82443,0.4533765
18318,0.45270815
23286,0.44983184
99250,0.44698575
70090,0.44675118
64488,0.4446836
17070,0.4439518
72407,0.4414461
77454,0.44127512
88140,0.44112623
43116,0.44038224
28455,0.43937534
88392,0.4385958
71403,0.43836558
41706,0.43816614
63647,0.43807983
77319,0.43637463
52562,0.4359224
61035,0.43463153
39291,0.43360543
89440,0.4331023
92166,0.43268493
25254,0.43232948
43143,0.43224606
40015,0.43180576
96383,0.43154263
88740,0.4312888
62866,0.43106702
24002,0.43104443
64314,0.43092847
34787,0.43072054
56512,0.4290008
35788,0.42898956
88459,0.42873916
42223,0.428461
17176,0.42838785
73012,0.4283161
79458,0.42813176
71832,0.427952
19139,0.4279303
28693,0.4272249
38688,0.4269426
79986,0.42682046
58977,0.42652336
37584,0.4264973
42037,0.42638326
98957,0.42563123
68025,0.42526755
77196,0.4243531
99637,0.42427194
94193,0.4236396
42688,0.4235105
38130,0.42333362
59681,0.42328274
67379,0.42315197
95768,0.42309728
55454,0.4228779
24117,0.422759
13005,0.42264357
67055,0.42241186
83345,0.42228672
80688,0.42136854
20655,0.42088223
37523,0.420783
39295,0.42053014
59265,0.4199662
89055,0.4197733
16474,0.4196535
46045,0.41960123
77904,0.41931474
82213,0.41924176
38910,0.41908735
14105,0.41884837
23423,0.41840562
41368,0.4180561
22969,0.41698542
81828,0.41672236
55356,0.41666174
52179,0.41604275
24660,0.4157811
79271,0.4156551
87364,0.415443
69544,0.41520277
20676,0.41495833
51989,0.41486713
62224,0.414716
68988,0.41448355
92459,0.41445845
40183,0.41378376
64344,0.41372836
85737,0.41359207
90460,0.41350478
35646,0.41223702
56473,0.41182262
50714,0.4117788
44222,0.41168225
77843,0.411098
24149,0.41100422
99724,0.4109393
61784,0.41091177
75511,0.41076773
84426,0.41068754
45963,0.41040748
74294,0.4103288
81040,0.40980136
14854,0.40912852
22313,0.40876347
38472,0.4082262
94746,0.4080056
93533,0.4077571
81471,0.4076237
32755,0.40700713
79611,0.40661308
76441,0.4065565
97085,0.4064559
47602,0.40645224
43138,0.4063425
60127,0.406331
23635,0.4063059
21474,0.40605336
15179,0.40586504
68839,0.405832
65832,0.4058291
30112,0.40582648
68535,0.40570086
33899,0.4056517
39297,0.40553644
41001,0.4054533
21899,0.4053538
20540,0.40523
43366,0.40498242
30577,0.40497103
99654,0.4048418
33266,0.4047359
10081,0.4046832
49472,0.40461075
16973,0.40428543
54701,0.4042275
12128,0.4041503
95702,0.40401042
68336,0.40382957
69560,0.4034958
51736,0.40286538
91409,0.4028161
78569,0.40256238
90244,0.4022522
45111,0.40197796
74239,0.40159708
14649,0.40126237
13795,0.40124965
54463,0.4012185
60425,0.4011884
73215,0.40102744
70460,0.4010104
74467,0.4008755
77305,0.4007262
25369,0.40036502
59163,0.40010622
37784,0.39993766
89950,0.39983505
30033,0.3995325
15863,0.3994843
29905,0.3993928
69687,0.3990468
20729,0.39900994
10266,0.39898038
51222,0.39887574
89861,0.39885736
50488,0.3983873
29262,0.39832753
89249,0.39818376
81688,0.39817116
40077,0.39786163
70512,0.3977466
96319,0.39739415
23263,0.397224
45775,0.39707565
43641,0.39689612
25961,0.39672515
26409,0.39662758
93876,0.39656118
14081,0.3964135
25475,0.3963582
36551,0.39635298
48551,0.39629304
52166,0.3959383
11963,0.39585036
65726,0.39555207
47717,0.39513072
52544,0.3948787
55874,0.394652
59597,0.39428464
64549,0.39409393
80911,0.3939691
95927,0.39363962
20641,0.39326212
33288,0.3932479
73188,0.3932332
36854,0.39309698
42639,0.39261854
84217,0.39235294
10542,0.39208126
79616,0.39198074
10100,0.39186725
17319,0.391663
66287,0.3916405
15737,0.39163348
67139,0.39130485
69031,0.3911454
60995,0.390997
72574,0.39083663
70113,0.39081448
45710,0.3906736
38906,0.3904961
53637,0.39037272
24599,0.39015463
23056,0.39010963
64079,0.38970336
33418,0.3895641
67008,0.38947493
93910,0.3894633
62542,0.38943654
74112,0.38871267
46351,0.38809904
10018,0.3879108
46306,0.38761786
24903,0.38717115
99484,0.38708335
55675,0.386343
42176,0.38610157
50190,0.38600037
19211,0.3858492
24673,0.3857796
76325,0.38522962
71976,0.3851901
77632,0.3851775
74955,0.38479346
48094,0.38406202
20835,0.38330108
99856,0.38308597
37884,0.38292843
94807,0.38290718
14497,0.38245034
92907,0.38220015
41762,0.38204455
79367,0.38160202
29450,0.38118184
18401,0.38113368
87663,0.3809455
39714,0.38087735
66837,0.3806634
89729,0.38063094
83293,0.3806047
71717,0.3805099
37806,0.38036653
27034,0.38031626
11089,0.3798761
88900,0.37979823
54666,0.37963912
11502,0.37937003
33609,0.37929055
58760,0.37922767
74177,0.37893024
16854,0.37891626
72219,0.37859863
95665,0.37843242
50519,0.37842202
59306,0.3783334
55623,0.37826496
92447,0.3779792
68631,0.37773776
53816,0.3776628
82673,0.37761
61504,0.3775615
14561,0.37751654
85628,0.37737074
60531,0.3773424
33270,0.37702355
89244,0.3768235
76770,0.376687
54637,0.3765681
29069,0.3760501
57776,0.37577498
67657,0.37554798
11346,0.37540472
96440,0.3753116
99701,0.375254
48059,0.37510568
19448,0.37507138
55604,0.37470722
58657,0.37469557
82000,0.37440228
35363,0.37425548
25153,0.37417698
81952,0.37368292
45514,0.37310535
64881,0.37307507
77381,0.37292466
99597,0.3725867
98509,0.37248906
53270,0.37246403
86578,0.37243205
54858,0.37215176
60589,0.37198448
71040,0.37191424
37352,0.37183797
29448,0.37156355
80909,0.3710492
99360,0.37067947
64493,0.36984944
97729,0.36960408
72215,0.36959738
24844,0.36927596
70910,0.3692459
91474,0.36900914
18777,0.36869147
67508,0.3685931
82250,0.36829814
80738,0.3677397
73780,0.3677344
78114,0.36767972
34101,0.36748675
58028,0.36714444
27306,0.3670095
39351,0.36651155
10920,0.36646923
21365,0.36643603
10085,0.3662982
27013,0.3662274
64427,0.36605045
94435,0.36599332
32689,0.3652553
34993,0.36516446
27885,0.36501294
60492,0.36431268
45051,0.36399606
47942,0.363855
65523,0.36366394
33298,0.36317322
21571,0.3630789
35935,0.36274827
41995,0.36269942
49995,0.36268574
97460,0.36264712
11794,0.3623292
17500,0.36190754
17875,0.36157
16119,0.36052004
70648,0.36004248
83284,0.3598982
30908,0.35964155
67474,0.3594641
44071,0.35898435
24594,0.35878658
98457,0.35863465
68031,0.3576803
43412,0.35758066
17727,0.35722297
23188,0.3567771
20107,0.35606423
90160,0.3557552
89915,0.35531813
16034,0.35525718
55150,0.35514992
